"hour","F0","F0.09","F0.17","F0.26","F0.34","F0.43","F0.52","F0.6","F0.69","F0.78","F0.86","F0.95","F1.03","F1.12","F1.21","F1.29","F1.38","F1.46","F1.55","F1.64","F1.72","F1.81","F1.89","F1.98","F2.07","F2.15","F2.24","F2.33","F2.41","F2.5","F2.58","F2.67","F2.76","F2.84","F2.93","F3.01","F3.1","F3.19","F3.27","F3.36","F3.45","F3.53","F3.62","F3.7","F3.79","F3.88","F3.96","F4.05","F4.13","F4.22","F4.31","F4.39","F4.48","F4.57","F4.65","F4.74","F4.82","F4.91","F5","F5.08","F5.17","F5.25","F5.34","F5.43","F5.51","F5.6","F5.68","F5.77","F5.86","F5.94","F6.03","F6.12","F6.2","F6.29","F6.37","F6.46","F6.55","F6.63","F6.72","F6.8","F6.89","F6.98","F7.06","F7.15","F7.24","F7.32","F7.41","F7.49","F7.58","F7.67","F7.75","F7.84","F7.92","F8.01","F8.1","F8.18","F8.27","F8.35","F8.44","F8.53","F8.61","F8.7","F8.79","F8.87","F8.96","F9.04","F9.13","F9.22","F9.3","F9.39","F9.47","F9.56","F9.65","F9.73","F9.82","F9.91","F9.99","F10.08","F10.16","F10.25","F10.34","F10.42","F10.51","F10.59","F10.68","F10.77","F10.85","F10.94"
"00",0,0,0,0,0,0,0,0,0.0128205128205128,0.0128205128205128,0,0.0256410256410256,0,0.0256410256410256,0.0256410256410256,0.0128205128205128,0.0256410256410256,0.0256410256410256,0.0384615384615385,0.0256410256410256,0.0128205128205128,0.0256410256410256,0.0128205128205128,0,0.0128205128205128,0,0.0128205128205128,0.0641025641025641,0.538461538461538,0.346153846153846,0.0384615384615385,0,0.0128205128205128,0,0.0256410256410256,0.0256410256410256,0.0128205128205128,0.0512820512820513,0.0256410256410256,0.0128205128205128,0.0256410256410256,0.0512820512820513,0,0.0256410256410256,0.102564102564103,0.269230769230769,0.371794871794872,0.153846153846154,0.0641025641025641,0.0512820512820513,0.0128205128205128,0.0128205128205128,0,0.0128205128205128,0,0.0384615384615385,0.0512820512820513,0.128205128205128,0.0512820512820513,0.166666666666667,0.0256410256410256,0.0128205128205128,0.0769230769230769,0.0384615384615385,0.0256410256410256,0.0769230769230769,0.141025641025641,0.0384615384615385,0.141025641025641,0.128205128205128,0.141025641025641,0.166666666666667,0.0769230769230769,0.102564102564103,0.0256410256410256,0.0641025641025641,0.0897435897435897,0.0641025641025641,0.0128205128205128,0.0641025641025641,0.0769230769230769,0.0384615384615385,0.0384615384615385,0.102564102564103,0.0769230769230769,0.0384615384615385,0.0256410256410256,0.0256410256410256,0,0.0128205128205128,0,0.0256410256410256,0.0128205128205128,0,0.0128205128205128,0,0,0,0.0128205128205128,0,0,0.0128205128205128,0.0128205128205128,0,0,0.0256410256410256,0,0.0128205128205128,0,0.0128205128205128,0,0,0,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0
"01",0,0,0,0,0.0256410256410256,0,0,0.0128205128205128,0.0128205128205128,0,0,0.0128205128205128,0.0128205128205128,0.0256410256410256,0,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0,0,0.0384615384615385,0.525641025641026,0.423076923076923,0.0256410256410256,0,0,0,0.0256410256410256,0,0.0128205128205128,0,0.0256410256410256,0,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0256410256410256,0.128205128205128,0.256410256410256,0.243589743589744,0.0769230769230769,0.0384615384615385,0.0384615384615385,0.0128205128205128,0.0256410256410256,0.0128205128205128,0,0,0.0128205128205128,0,0.0128205128205128,0.0641025641025641,0.0384615384615385,0.0128205128205128,0,0.0769230769230769,0.0512820512820513,0.0384615384615385,0.128205128205128,0.102564102564103,0.0384615384615385,0.230769230769231,0.230769230769231,0.0897435897435897,0.0128205128205128,0.0641025641025641,0.0384615384615385,0.0384615384615385,0.128205128205128,0.0769230769230769,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0512820512820513,0.0512820512820513,0.0641025641025641,0,0.0256410256410256,0,0.0128205128205128,0.0384615384615385,0,0.0128205128205128,0,0.0128205128205128,0,0,0,0,0.0256410256410256,0,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0.0128205128205128,0,0,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0
"02",0,0,0,0,0,0,0,0.012987012987013,0.012987012987013,0.051948051948052,0.038961038961039,0.025974025974026,0.012987012987013,0.012987012987013,0.051948051948052,0.025974025974026,0.025974025974026,0.051948051948052,0.038961038961039,0,0.051948051948052,0.051948051948052,0.025974025974026,0.012987012987013,0.012987012987013,0.012987012987013,0.025974025974026,0.0779220779220779,0.454545454545455,0.415584415584416,0.038961038961039,0,0.0649350649350649,0.025974025974026,0.012987012987013,0.038961038961039,0.051948051948052,0.051948051948052,0,0.038961038961039,0.051948051948052,0.038961038961039,0.012987012987013,0.0649350649350649,0.207792207792208,0.337662337662338,0.194805194805195,0.0779220779220779,0.038961038961039,0.012987012987013,0.038961038961039,0.0649350649350649,0.025974025974026,0.025974025974026,0,0,0.012987012987013,0.038961038961039,0.0909090909090909,0.012987012987013,0.038961038961039,0.038961038961039,0,0.051948051948052,0.103896103896104,0.194805194805195,0.025974025974026,0.116883116883117,0.233766233766234,0.103896103896104,0.025974025974026,0.103896103896104,0.0779220779220779,0.0649350649350649,0.103896103896104,0.0779220779220779,0.116883116883117,0.0909090909090909,0.0649350649350649,0.116883116883117,0.038961038961039,0.038961038961039,0.0779220779220779,0.0649350649350649,0.0779220779220779,0.051948051948052,0.025974025974026,0.012987012987013,0.012987012987013,0.038961038961039,0.038961038961039,0.025974025974026,0.051948051948052,0.012987012987013,0.012987012987013,0.051948051948052,0.025974025974026,0.025974025974026,0.038961038961039,0.038961038961039,0,0.051948051948052,0,0.012987012987013,0.025974025974026,0.051948051948052,0.012987012987013,0.012987012987013,0.051948051948052,0.012987012987013,0.012987012987013,0.051948051948052,0.025974025974026,0.038961038961039,0,0.025974025974026,0,0.012987012987013,0,0,0,0,0,0,0,0,0,0
"03",0,0,0,0,0.0263157894736842,0.0131578947368421,0.0263157894736842,0,0.0263157894736842,0.0657894736842105,0.0263157894736842,0,0.0263157894736842,0.0263157894736842,0,0.0657894736842105,0.0394736842105263,0.0657894736842105,0.0394736842105263,0.0526315789473684,0.0263157894736842,0.0526315789473684,0.0263157894736842,0.0394736842105263,0.0526315789473684,0,0.0131578947368421,0.0921052631578947,0.447368421052632,0.210526315789474,0.105263157894737,0,0.0131578947368421,0.0657894736842105,0.0394736842105263,0.0263157894736842,0.0394736842105263,0,0.0394736842105263,0.0263157894736842,0.0394736842105263,0.0657894736842105,0.0131578947368421,0.0394736842105263,0.171052631578947,0.355263157894737,0.184210526315789,0.0263157894736842,0.0789473684210526,0.0657894736842105,0.0394736842105263,0.0394736842105263,0.0263157894736842,0.0394736842105263,0,0.0526315789473684,0,0.0131578947368421,0.0526315789473684,0.0263157894736842,0.0526315789473684,0.0131578947368421,0.0789473684210526,0.0526315789473684,0.0526315789473684,0.184210526315789,0.0526315789473684,0.157894736842105,0.131578947368421,0.0526315789473684,0.0657894736842105,0.0394736842105263,0.105263157894737,0.0526315789473684,0.0263157894736842,0.105263157894737,0.0526315789473684,0.0263157894736842,0.0394736842105263,0.0526315789473684,0.0394736842105263,0.0394736842105263,0.0394736842105263,0.0526315789473684,0.0394736842105263,0.0131578947368421,0.0394736842105263,0.0394736842105263,0.0131578947368421,0.0394736842105263,0.0394736842105263,0.0263157894736842,0.0921052631578947,0.0131578947368421,0.0131578947368421,0.0789473684210526,0.0131578947368421,0.0394736842105263,0.0394736842105263,0.0394736842105263,0.0657894736842105,0.0263157894736842,0.0526315789473684,0.0394736842105263,0.0526315789473684,0.0394736842105263,0.0131578947368421,0.0921052631578947,0.0131578947368421,0.0394736842105263,0.0657894736842105,0.0263157894736842,0.0526315789473684,0.0263157894736842,0,0.0131578947368421,0.0394736842105263,0,0,0,0,0,0,0,0,0,0,0
"04",0,0,0,0,0.0123456790123457,0,0,0.0123456790123457,0.0617283950617284,0.0123456790123457,0.037037037037037,0.0246913580246914,0.0246913580246914,0.0123456790123457,0.0123456790123457,0,0.0493827160493827,0.037037037037037,0.0740740740740741,0.0246913580246914,0.0246913580246914,0.0123456790123457,0.0123456790123457,0.037037037037037,0.037037037037037,0,0.0123456790123457,0.0493827160493827,0.222222222222222,0.0493827160493827,0,0.037037037037037,0.0123456790123457,0.0246913580246914,0.0123456790123457,0.037037037037037,0.037037037037037,0.0246913580246914,0.0246913580246914,0,0.037037037037037,0.0123456790123457,0.0493827160493827,0.0246913580246914,0.271604938271605,0.234567901234568,0.160493827160494,0.037037037037037,0.0123456790123457,0.0246913580246914,0.0617283950617284,0.0246913580246914,0.0246913580246914,0.0246913580246914,0.0123456790123457,0.037037037037037,0.037037037037037,0.0246913580246914,0.037037037037037,0.0246913580246914,0.0493827160493827,0.0617283950617284,0.0493827160493827,0.037037037037037,0.0987654320987654,0.123456790123457,0.135802469135802,0.209876543209877,0.0617283950617284,0.037037037037037,0.037037037037037,0.0617283950617284,0.0493827160493827,0.0123456790123457,0.0740740740740741,0.037037037037037,0.0123456790123457,0,0,0.0493827160493827,0.0123456790123457,0.0123456790123457,0,0.0493827160493827,0,0,0,0.0123456790123457,0.0246913580246914,0,0,0.0123456790123457,0,0.037037037037037,0,0.0123456790123457,0.0123456790123457,0.0123456790123457,0.0493827160493827,0,0.0246913580246914,0.0246913580246914,0.0123456790123457,0.0123456790123457,0.0246913580246914,0,0.037037037037037,0.037037037037037,0,0,0.0246913580246914,0.0123456790123457,0.0246913580246914,0.0493827160493827,0,0.0246913580246914,0.0246913580246914,0,0,0,0,0,0,0,0,0,0,0
"05",0,0,0,0,0.0123456790123457,0,0,0,0.0740740740740741,0.0246913580246914,0.0123456790123457,0.0617283950617284,0.0123456790123457,0.0123456790123457,0.0246913580246914,0.0740740740740741,0,0.0864197530864197,0.0493827160493827,0.0246913580246914,0.037037037037037,0.0493827160493827,0.037037037037037,0.0246913580246914,0.037037037037037,0.0246913580246914,0.0123456790123457,0.0123456790123457,0.0740740740740741,0.0246913580246914,0.037037037037037,0.0246913580246914,0.037037037037037,0.0617283950617284,0.0123456790123457,0.0987654320987654,0.037037037037037,0,0.0864197530864197,0.0493827160493827,0.0246913580246914,0.0617283950617284,0.0493827160493827,0.037037037037037,0.197530864197531,0.135802469135802,0.0987654320987654,0.0617283950617284,0.0246913580246914,0.0123456790123457,0.0864197530864197,0.037037037037037,0.0493827160493827,0.0493827160493827,0,0.0493827160493827,0.0246913580246914,0.0740740740740741,0.0123456790123457,0.0740740740740741,0.0246913580246914,0.0493827160493827,0.111111111111111,0.0123456790123457,0.0493827160493827,0.0246913580246914,0.0493827160493827,0.0617283950617284,0.0617283950617284,0.0123456790123457,0.0246913580246914,0.0246913580246914,0.0740740740740741,0.0493827160493827,0.0123456790123457,0.0740740740740741,0.0246913580246914,0.0493827160493827,0,0.0493827160493827,0.037037037037037,0.0123456790123457,0.037037037037037,0.0246913580246914,0.0493827160493827,0.037037037037037,0.0246913580246914,0.0123456790123457,0.0246913580246914,0.0246913580246914,0.037037037037037,0.0246913580246914,0.0246913580246914,0.0123456790123457,0.0123456790123457,0.037037037037037,0.0123456790123457,0.0246913580246914,0.0123456790123457,0.0246913580246914,0.0493827160493827,0,0.037037037037037,0.0123456790123457,0.0123456790123457,0.0123456790123457,0.037037037037037,0.0123456790123457,0.0123456790123457,0.037037037037037,0.0123456790123457,0,0.037037037037037,0.0246913580246914,0.0246913580246914,0.0246913580246914,0,0,0,0,0,0,0,0,0,0,0,0
"06",0,0,0,0,0,0,0.0123456790123457,0.0246913580246914,0,0.0246913580246914,0.0123456790123457,0.0123456790123457,0.0123456790123457,0.0123456790123457,0.037037037037037,0,0.0617283950617284,0.0123456790123457,0.037037037037037,0.037037037037037,0,0.0246913580246914,0.0123456790123457,0.0246913580246914,0.0617283950617284,0.0123456790123457,0.0246913580246914,0.037037037037037,0.0246913580246914,0.0864197530864197,0.0246913580246914,0.0123456790123457,0.037037037037037,0.0123456790123457,0.037037037037037,0,0.0246913580246914,0.037037037037037,0.0123456790123457,0.037037037037037,0,0.0246913580246914,0.037037037037037,0.0864197530864197,0.0123456790123457,0.0246913580246914,0.037037037037037,0.0493827160493827,0.0617283950617284,0.0740740740740741,0.0123456790123457,0,0.0617283950617284,0.0123456790123457,0.0493827160493827,0.0123456790123457,0.0123456790123457,0,0.0740740740740741,0.0493827160493827,0.0246913580246914,0.0246913580246914,0.0493827160493827,0.0123456790123457,0.037037037037037,0.0123456790123457,0.0123456790123457,0.0123456790123457,0.0246913580246914,0,0,0.0123456790123457,0,0.0246913580246914,0.037037037037037,0,0,0,0.0123456790123457,0.0123456790123457,0,0.0123456790123457,0.0246913580246914,0.0123456790123457,0,0.0123456790123457,0.037037037037037,0.0123456790123457,0.0123456790123457,0,0.037037037037037,0,0.0246913580246914,0.0246913580246914,0.0123456790123457,0.0123456790123457,0.037037037037037,0,0,0.0617283950617284,0,0,0.0123456790123457,0.0246913580246914,0.0123456790123457,0.0246913580246914,0.0246913580246914,0.0246913580246914,0.0246913580246914,0.0123456790123457,0,0.037037037037037,0.0123456790123457,0,0.0493827160493827,0,0.0123456790123457,0,0,0,0,0,0,0,0,0,0,0
"07",0,0,0.0125,0,0.025,0.0125,0,0,0.0125,0.0125,0.0125,0.025,0.0125,0.025,0.0125,0.0125,0.0125,0.0375,0.0125,0.0125,0.0125,0,0.025,0.025,0,0.0375,0.025,0,0.025,0.05,0.0125,0.0125,0.0125,0,0.0125,0.025,0,0.0125,0,0.025,0,0.025,0.0125,0.0125,0.05,0.0875,0.025,0.0125,0.025,0.0125,0.0375,0.025,0.025,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0,0,0.0625,0,0.0125,0.0375,0.025,0.025,0.0125,0.025,0.025,0,0.025,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0.025,0,0,0.0125,0,0,0.0125,0.0125,0.0125,0,0.025,0,0.0125,0.0125,0,0.025,0,0.025,0,0.025,0,0.0125,0.025,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0
"08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0.0128205128205128,0.0128205128205128,0,0.0128205128205128,0.0128205128205128,0,0,0.0384615384615385,0.0256410256410256,0.0128205128205128,0,0,0.0512820512820513,0.0256410256410256,0.0128205128205128,0,0,0,0,0.0128205128205128,0.0256410256410256,0,0,0.0128205128205128,0,0,0.0128205128205128,0,0.0128205128205128,0.102564102564103,0.0256410256410256,0,0.0641025641025641,0.0128205128205128,0.0384615384615385,0.0256410256410256,0.0256410256410256,0,0.0128205128205128,0,0.0256410256410256,0,0,0.0128205128205128,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09",0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0.0128205128205128,0.0256410256410256,0,0,0.0256410256410256,0.102564102564103,0.0384615384615385,0,0.0128205128205128,0.0384615384615385,0.0384615384615385,0.0256410256410256,0.0128205128205128,0,0.0256410256410256,0.0128205128205128,0.0128205128205128,0,0,0.0512820512820513,0.0128205128205128,0.0128205128205128,0,0.0128205128205128,0.0128205128205128,0.0256410256410256,0.0384615384615385,0.0128205128205128,0.0384615384615385,0.0384615384615385,0.0256410256410256,0.0384615384615385,0.0384615384615385,0.0641025641025641,0.0256410256410256,0,0.0256410256410256,0.0256410256410256,0.0128205128205128,0.0256410256410256,0.0128205128205128,0,0.0256410256410256,0,0,0,0.0128205128205128,0,0.0256410256410256,0,0,0.0128205128205128,0.0128205128205128,0,0,0,0.0128205128205128,0,0,0.0128205128205128,0,0,0,0,0,0.0128205128205128,0,0,0.0128205128205128,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
