"path_audio","sample.rate","channels","bits","samples","fsize","sm_model","sensor_name","date","day","time","hour","length"
"SM302298__0__20170325_000000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 00:00:00","2017-03-25","00:00:00","00",5
"SM302298__0__20170325_001000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 00:10:00","2017-03-25","00:10:00","00",5
"SM302298__0__20170325_002000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 00:20:00","2017-03-25","00:20:00","00",5
"SM302298__0__20170325_003000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 00:30:00","2017-03-25","00:30:00","00",5
"SM302298__0__20170325_004000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 00:40:00","2017-03-25","00:40:00","00",5
"SM302298__0__20170325_005000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 00:50:00","2017-03-25","00:50:00","00",5
"SM302298__0__20170325_010000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 01:00:00","2017-03-25","01:00:00","01",5
"SM302298__0__20170325_011000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 01:10:00","2017-03-25","01:10:00","01",5
"SM302298__0__20170325_012000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 01:20:00","2017-03-25","01:20:00","01",5
"SM302298__0__20170325_013000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 01:30:00","2017-03-25","01:30:00","01",5
"SM302298__0__20170325_014000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 01:40:00","2017-03-25","01:40:00","01",5
"SM302298__0__20170325_015000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 01:50:00","2017-03-25","01:50:00","01",5
"SM302298__0__20170325_020000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 02:00:00","2017-03-25","02:00:00","02",5
"SM302298__0__20170325_021000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 02:10:00","2017-03-25","02:10:00","02",5
"SM302298__0__20170325_022000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 02:20:00","2017-03-25","02:20:00","02",5
"SM302298__0__20170325_023000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 02:30:00","2017-03-25","02:30:00","02",5
"SM302298__0__20170325_024000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 02:40:00","2017-03-25","02:40:00","02",5
"SM302298__0__20170325_025000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 02:50:00","2017-03-25","02:50:00","02",5
"SM302298__0__20170325_030000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 03:00:00","2017-03-25","03:00:00","03",5
"SM302298__0__20170325_031000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 03:10:00","2017-03-25","03:10:00","03",5
"SM302298__0__20170325_032000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 03:20:00","2017-03-25","03:20:00","03",5
"SM302298__0__20170325_033000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 03:30:00","2017-03-25","03:30:00","03",5
"SM302298__0__20170325_034000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 03:40:00","2017-03-25","03:40:00","03",5
"SM302298__0__20170325_035000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 03:50:00","2017-03-25","03:50:00","03",5
"SM302298__0__20170325_040000.wav",22050,1,32,110250,441058,"SM3","SM302298","2017-03-25 04:00:00","2017-03-25","04:00:00","04",5
